short_id,question,option1,option2,option3,option4,option5,cluster_methods,cluster
11172,Q1,0.0,0.175,0.0,0.225,1.0,GMM,1
11899,Q1,0.0,0.44166666666666665,1.0,0.175,0.2583333333333333,GMM,1
12452,Q1,0.125,0.5166666666666666,0.30833333333333335,1.0,0.175,GMM,0
13178,Q1,1.0,0.1,0.05,0.1,0.375,GMM,2
13586,Q1,0.5125,0.7,0.4,0.2875,0.625,GMM,0
13886,Q1,0.2625,0.2875,0.4,0.525,1.0,GMM,1
14757,Q1,0.8875,0.75,0.0,0.4125,0.525,GMM,0
14815,Q1,0.05,0.5875,1.0,0.575,0.4625,GMM,1
14877,Q1,0.175,0.1,0.4,1.0,0.45,GMM,1
14969,Q1,0.4125,0.65,0.475,0.6375,0.05,GMM,0
15457,Q1,1.0,0.0625,0.0,0.175,0.2875,GMM,2
16944,Q1,0.25,0.7,0.175,0.5125,0.1875,GMM,0
18317,Q1,0.0,0.0625,0.225,0.6375,1.0,GMM,1
21187,Q1,0.1125,0.375,0.05,0.5375,1.0,GMM,1
22663,Q1,0.8333333333333334,0.0,0.7,0.1,0.5666666666666667,GMM,2
23674,Q1,0.0,0.0,0.6166666666666667,0.3583333333333333,1.0,GMM,1
23752,Q1,0.0,1.0,0.175,0.2375,0.0625,GMM,0
23757,Q1,0.7,0.8875,0.475,0.4625,0.0,GMM,0
25231,Q1,0.0,0.05,0.5833333333333333,0.6666666666666666,1.0,GMM,1
27234,Q1,0.5,0.45,0.5875,0.275,0.5125,GMM,2
27417,Q1,0.0,0.0,1.0,0.6666666666666666,0.5833333333333333,GMM,1
28655,Q1,0.0,1.0,0.0,0.475,0.05,GMM,0
29228,Q1,0.5125,0.75,0.25,0.175,0.4625,GMM,0
31121,Q1,0.6666666666666666,1.0,0.05,0.2583333333333333,0.0,GMM,0
31326,Q1,0.0,0.3583333333333333,0.225,0.75,0.8666666666666667,GMM,1
32968,Q1,0.3375,1.0,0.0,0.225,0.5875,GMM,0
34122,Q1,1.0,0.35,0.05,0.45,0.35,GMM,2
34745,Q1,0.0,1.0,0.0,0.125,0.575,GMM,0
35244,Q1,1.0,0.375,0.0,0.3125,0.4375,GMM,2
35335,Q1,0.4,0.7,0.225,0.7625,0.5875,GMM,0
35882,Q1,0.05,1.0,0.5875,0.2125,0.175,GMM,0
35924,Q1,0.0,0.0,1.0,0.5333333333333333,0.6666666666666666,GMM,1
36475,Q1,0.175,0.30833333333333335,0.125,0.8666666666666667,0.65,GMM,1
36553,Q1,0.125,0.25,0.7,0.5125,0.1875,GMM,1
37248,Q1,0.575,0.05,0.95,0.2875,0.5375,GMM,2
37322,Q1,0.30833333333333335,0.95,0.125,0.3,0.5666666666666667,GMM,0
37612,Q1,0.25,0.1875,0.5625,0.75,0.625,GMM,1
38577,Q1,0.13333333333333333,0.6166666666666667,0.05,1.0,0.05,GMM,0
38641,Q1,0.1125,0.6375,0.475,1.0,0.0,GMM,0
38782,Q1,0.05,0.95,0.175,0.4833333333333333,0.5666666666666667,GMM,0
39175,Q1,0.0,0.4875,0.525,0.4625,0.75,GMM,1
39244,Q1,0.3375,0.0,0.6875,1.0,0.575,GMM,1
39544,Q1,0.0,0.0,0.5333333333333333,0.6666666666666666,1.0,GMM,1
39578,Q1,0.1125,0.175,0.7,0.75,0.5875,GMM,1
42198,Q1,0.75,0.0,0.2875,0.175,0.8875,GMM,2
42315,Q1,0.25,0.0,0.2875,0.5875,0.95,GMM,1
42993,Q1,0.175,0.0,0.6166666666666667,1.0,0.4833333333333333,GMM,1
43395,Q1,0.0,0.0625,0.5875,1.0,0.475,GMM,1
44379,Q1,0.0625,0.0,0.6875,1.0,0.625,GMM,1
46138,Q1,0.0625,0.95,0.575,0.0,0.6375,GMM,0
47328,Q1,0.3375,0.0,0.95,0.475,0.3625,GMM,1
48339,Q1,0.05,0.3,0.225,0.8125,0.6875,GMM,1
48429,Q1,0.0,0.0,0.6666666666666666,1.0,0.13333333333333333,GMM,1
49144,Q1,0.0,0.7625,0.525,0.5875,0.7,GMM,0
49227,Q1,0.0,1.0,0.0,0.18333333333333335,0.6166666666666667,GMM,0
49777,Q1,0.575,0.6875,0.4625,1.0,0.05,GMM,0
51286,Q1,0.0,0.0,0.6166666666666667,1.0,0.4833333333333333,GMM,1
52478,Q1,0.75,0.5375,0.3,0.5625,0.475,GMM,2
53469,Q1,0.4,0.225,0.6375,0.3375,0.95,GMM,1
53659,Q1,0.575,0.3125,1.0,0.6375,0.15,GMM,2
53718,Q1,1.0,0.05,0.5375,0.4625,0.575,GMM,2
54392,Q1,0.05,0.13333333333333333,0.0,0.7,0.7166666666666667,GMM,1
54636,Q1,0.05,0.95,0.3,0.275,0.1,GMM,0
54932,Q1,0.0625,0.6375,0.525,1.0,0.0,GMM,0
55617,Q1,0.225,0.6375,0.3,0.5125,0.75,GMM,1
