start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-23 17:16:58.753, 2021-07-23 17:20:20.634, 201, Majority Voting, Vote 01, 11172
2021-07-23 17:20:26.476, 2021-07-23 17:21:11.041, 44, Combined Approval, Vote 02, 11172
2021-07-23 17:21:16.351, 2021-07-23 17:21:53.094, 36, Score Voting, Vote 03, 11172
2021-07-23 17:21:58.849, 2021-07-23 17:22:55.884, 57, Modified Borda Count, Vote 04, 11172
2021-07-23 17:23:01.064, 2021-07-23 17:23:39.064, 38, Majority Voting, Vote 05, 11172
2021-07-23 17:23:44.217, 2021-07-23 17:24:37.070, 52, Combined Approval, Vote 06, 11172
2021-07-23 17:24:42.167, 2021-07-23 17:25:09.101, 26, Score Voting, Vote 07, 11172
2021-07-23 17:25:14.259, 2021-07-23 17:25:48.505, 34, Modified Borda Count, Vote 08, 11172
2021-07-23 17:25:53.580, 2021-07-23 17:26:22.871, 29, Majority Voting, Vote 09, 11172
2021-07-23 17:26:28.205, 2021-07-23 17:26:52.162, 23, Combined Approval, Vote 10, 11172
2021-07-23 17:26:57.279, 2021-07-23 17:27:21.047, 23, Score Voting, Vote 11, 11172
2021-07-23 17:27:26.260, 2021-07-23 17:27:45.948, 19, Modified Borda Count, Vote 12, 11172
2021-07-23 17:27:51.033, 2021-07-23 17:28:45.043, 54, Majority Voting, Vote 13, 11172
2021-07-23 17:28:50.219, 2021-07-23 17:29:49.453, 59, Combined Approval, Vote 14, 11172
2021-07-23 17:29:54.434, 2021-07-23 17:30:13.690, 19, Score Voting, Vote 15, 11172
2021-07-23 17:30:18.801, 2021-07-23 17:30:40.446, 21, Modified Borda Count, Vote 16, 11172
2021-07-21 23:17:24.894, 2021-07-21 23:17:27.344, 2, Score Voting, Vote 15, 12518
2021-07-21 23:22:53.931, 2021-07-21 23:22:58.207, 4, Modified Borda Count, Vote 16, 12518
2021-07-26 17:10:44.771, 2021-07-26 17:11:02.753, 17, Majority Voting, Vote 01, 13886
2021-07-26 17:11:08.355, 2021-07-26 17:11:30.895, 22, Combined Approval, Vote 02, 13886
2021-07-26 17:11:35.976, 2021-07-26 17:12:07.285, 31, Score Voting, Vote 03, 13886
2021-07-26 17:12:12.690, 2021-07-26 17:13:22.987, 70, Modified Borda Count, Vote 04, 13886
2021-07-26 17:13:28.145, 2021-07-26 17:13:46.801, 18, Majority Voting, Vote 05, 13886
2021-07-26 17:13:51.958, 2021-07-26 17:14:06.356, 14, Combined Approval, Vote 06, 13886
2021-07-26 17:14:11.705, 2021-07-26 17:14:47.639, 35, Score Voting, Vote 07, 13886
2021-07-26 17:14:53.151, 2021-07-26 17:15:13.739, 20, Modified Borda Count, Vote 08, 13886
2021-07-26 17:15:19.049, 2021-07-26 17:15:38.868, 19, Majority Voting, Vote 09, 13886
2021-07-26 17:15:43.915, 2021-07-26 17:15:53.220, 9, Combined Approval, Vote 10, 13886
2021-07-26 17:15:58.349, 2021-07-26 17:16:16.701, 18, Score Voting, Vote 11, 13886
2021-07-26 17:16:21.810, 2021-07-26 17:16:34.019, 12, Modified Borda Count, Vote 12, 13886
2021-07-26 17:16:39.132, 2021-07-26 17:16:58.483, 19, Majority Voting, Vote 13, 13886
2021-07-26 17:17:03.796, 2021-07-26 17:17:17.555, 13, Combined Approval, Vote 14, 13886
2021-07-26 17:17:22.478, 2021-07-26 17:17:44.909, 22, Score Voting, Vote 15, 13886
2021-07-26 17:17:49.871, 2021-07-26 17:18:02.209, 12, Modified Borda Count, Vote 16, 13886
2021-07-26 17:16:31.887, 2021-07-26 17:16:48.732, 16, Majority Voting, Vote 01, 14815
2021-07-26 17:17:06.197, 2021-07-26 17:17:56.146, 49, Combined Approval, Vote 02, 14815
2021-07-26 17:18:01.401, 2021-07-26 17:18:30.932, 29, Score Voting, Vote 03, 14815
2021-07-26 17:18:36.173, 2021-07-26 17:19:53.870, 77, Modified Borda Count, Vote 04, 14815
2021-07-26 17:19:59.335, 2021-07-26 17:20:24.905, 25, Majority Voting, Vote 05, 14815
2021-07-26 17:20:30.014, 2021-07-26 17:20:48.274, 18, Combined Approval, Vote 06, 14815
2021-07-26 17:20:53.519, 2021-07-26 17:21:17.690, 24, Score Voting, Vote 07, 14815
2021-07-26 17:21:22.949, 2021-07-26 17:21:46.239, 23, Modified Borda Count, Vote 08, 14815
2021-07-26 17:21:51.604, 2021-07-26 17:22:19.187, 27, Majority Voting, Vote 09, 14815
2021-07-26 17:22:24.198, 2021-07-26 17:22:32.603, 8, Combined Approval, Vote 10, 14815
2021-07-26 17:22:37.735, 2021-07-26 17:22:57.118, 19, Score Voting, Vote 11, 14815
2021-07-26 17:23:02.413, 2021-07-26 17:23:18.111, 15, Modified Borda Count, Vote 12, 14815
2021-07-26 17:23:23.405, 2021-07-26 17:23:43.824, 20, Majority Voting, Vote 13, 14815
2021-07-26 17:23:48.954, 2021-07-26 17:24:04.556, 15, Combined Approval, Vote 14, 14815
2021-07-26 17:24:10.342, 2021-07-26 17:24:27.974, 17, Score Voting, Vote 15, 14815
2021-07-26 17:24:33.304, 2021-07-26 17:24:50.465, 17, Modified Borda Count, Vote 16, 14815
2021-07-26 17:08:20.411, 2021-07-26 17:09:01.506, 41, Majority Voting, Vote 01, 14877
2021-07-26 17:09:06.702, 2021-07-26 17:09:30.039, 23, Combined Approval, Vote 02, 14877
2021-07-26 17:09:36.287, 2021-07-26 17:10:18.257, 41, Score Voting, Vote 03, 14877
2021-07-26 17:10:23.099, 2021-07-26 17:11:06.491, 43, Modified Borda Count, Vote 04, 14877
2021-07-26 17:11:11.382, 2021-07-26 17:11:47.307, 35, Majority Voting, Vote 05, 14877
2021-07-26 17:11:52.100, 2021-07-26 17:12:57.406, 65, Combined Approval, Vote 06, 14877
2021-07-26 17:13:02.014, 2021-07-26 17:13:25.022, 23, Score Voting, Vote 07, 14877
2021-07-26 17:13:29.732, 2021-07-26 17:13:43.790, 14, Modified Borda Count, Vote 08, 14877
2021-07-26 17:13:48.448, 2021-07-26 17:14:18.506, 30, Majority Voting, Vote 09, 14877
2021-07-26 17:14:23.096, 2021-07-26 17:14:39.573, 16, Combined Approval, Vote 10, 14877
2021-07-26 17:14:44.248, 2021-07-26 17:15:02.206, 17, Score Voting, Vote 11, 14877
2021-07-26 17:15:06.904, 2021-07-26 17:15:20.206, 13, Modified Borda Count, Vote 12, 14877
2021-07-26 17:15:24.913, 2021-07-26 17:15:53.457, 28, Majority Voting, Vote 13, 14877
2021-07-26 17:15:58.067, 2021-07-26 17:16:20.856, 22, Combined Approval, Vote 14, 14877
2021-07-26 17:16:25.380, 2021-07-26 17:16:39.289, 13, Score Voting, Vote 15, 14877
2021-07-26 17:16:43.897, 2021-07-26 17:16:50.173, 6, Modified Borda Count, Vote 16, 14877
2021-07-26 17:10:58.763, 2021-07-26 17:11:36.861, 38, Majority Voting, Vote 01, 14969
2021-07-26 17:11:42.175, 2021-07-26 17:12:10.935, 28, Combined Approval, Vote 02, 14969
