start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-23 17:16:58.753, 2021-07-23 17:20:20.634, 201, Majority Voting, Vote 01, 11172
2021-07-23 17:20:26.476, 2021-07-23 17:21:11.041, 44, Combined Approval, Vote 02, 11172
2021-07-23 17:21:16.351, 2021-07-23 17:21:53.094, 36, Score Voting, Vote 03, 11172
2021-07-23 17:21:58.849, 2021-07-23 17:22:55.884, 57, Modified Borda Count, Vote 04, 11172
2021-07-23 17:23:01.064, 2021-07-23 17:23:39.064, 38, Majority Voting, Vote 05, 11172
2021-07-23 17:23:44.217, 2021-07-23 17:24:37.070, 52, Combined Approval, Vote 06, 11172
2021-07-23 17:24:42.167, 2021-07-23 17:25:09.101, 26, Score Voting, Vote 07, 11172
2021-07-23 17:25:14.259, 2021-07-23 17:25:48.505, 34, Modified Borda Count, Vote 08, 11172
2021-07-23 17:25:53.580, 2021-07-23 17:26:22.871, 29, Majority Voting, Vote 09, 11172
2021-07-23 17:26:28.205, 2021-07-23 17:26:52.162, 23, Combined Approval, Vote 10, 11172
2021-07-23 17:26:57.279, 2021-07-23 17:27:21.047, 23, Score Voting, Vote 11, 11172
2021-07-23 17:27:26.260, 2021-07-23 17:27:45.948, 19, Modified Borda Count, Vote 12, 11172
2021-07-23 17:27:51.033, 2021-07-23 17:28:45.043, 54, Majority Voting, Vote 13, 11172
2021-07-23 17:28:50.219, 2021-07-23 17:29:49.453, 59, Combined Approval, Vote 14, 11172
2021-07-23 17:29:54.434, 2021-07-23 17:30:13.690, 19, Score Voting, Vote 15, 11172
2021-07-23 17:30:18.801, 2021-07-23 17:30:40.446, 21, Modified Borda Count, Vote 16, 11172
2021-01-24 15:11:08.837, 2021-01-24 15:11:34.978, 26, Majority Voting, Vote 01, 11758
2021-01-24 15:11:40.005, 2021-01-24 15:12:19.233, 39, Combined Approval, Vote 02, 11758
2021-01-24 15:12:24.051, 2021-01-24 15:13:37.887, 73, Score Voting, Vote 03, 11758
2021-01-24 15:13:42.665, 2021-01-24 15:15:01.094, 78, Modified Borda Count, Vote 04, 11758
2021-01-24 15:15:08.325, 2021-01-24 15:15:39.380, 31, Majority Voting, Vote 05, 11758
2021-01-24 15:16:27.544, 2021-01-24 15:17:08.817, 41, Combined Approval, Vote 06, 11758
2021-01-24 15:17:13.736, 2021-01-24 15:17:37.246, 23, Score Voting, Vote 07, 11758
2021-01-24 15:17:43.687, 2021-01-24 15:18:23.652, 39, Modified Borda Count, Vote 08, 11758
2021-01-24 15:18:28.525, 2021-01-24 15:18:39.430, 10, Majority Voting, Vote 09, 11758
2021-01-24 15:18:44.404, 2021-01-24 15:19:13.981, 29, Combined Approval, Vote 10, 11758
2021-01-24 15:19:18.844, 2021-01-24 15:20:08.922, 50, Score Voting, Vote 11, 11758
2021-01-24 15:20:13.758, 2021-01-24 15:20:24.290, 10, Modified Borda Count, Vote 12, 11758
2021-01-24 15:20:29.265, 2021-01-24 15:20:42.731, 13, Majority Voting, Vote 13, 11758
2021-01-24 15:20:47.495, 2021-01-24 15:21:32.057, 44, Combined Approval, Vote 14, 11758
2021-01-24 15:21:36.795, 2021-01-24 15:21:57.886, 21, Score Voting, Vote 15, 11758
2021-01-24 15:22:02.669, 2021-01-24 15:22:17.799, 15, Modified Borda Count, Vote 16, 11758
2021-07-21 23:17:24.894, 2021-07-21 23:17:27.344, 2, Score Voting, Vote 15, 12518
2021-07-21 23:22:53.931, 2021-07-21 23:22:58.207, 4, Modified Borda Count, Vote 16, 12518
2021-01-25 14:47:07.693, 2021-01-25 14:47:31.291, 23, Majority Voting, Vote 01, 12744
2021-01-25 14:47:36.612, 2021-01-25 14:48:19.733, 43, Combined Approval, Vote 02, 12744
2021-01-25 14:48:25.130, 2021-01-25 14:48:50.645, 25, Score Voting, Vote 03, 12744
2021-01-25 14:48:55.625, 2021-01-25 14:50:31.712, 96, Modified Borda Count, Vote 04, 12744
2021-01-25 14:50:36.964, 2021-01-25 14:51:19.861, 42, Majority Voting, Vote 05, 12744
2021-01-25 14:51:24.788, 2021-01-25 14:51:52.463, 27, Combined Approval, Vote 06, 12744
2021-01-25 14:51:59.038, 2021-01-25 14:52:33.612, 34, Score Voting, Vote 07, 12744
2021-01-25 14:52:38.588, 2021-01-25 14:53:12.041, 33, Modified Borda Count, Vote 08, 12744
2021-01-25 14:53:17.391, 2021-01-25 14:53:46.963, 29, Majority Voting, Vote 09, 12744
2021-01-25 14:53:52.387, 2021-01-25 14:53:58.770, 6, Combined Approval, Vote 10, 12744
2021-01-25 14:54:03.888, 2021-01-25 14:54:28.029, 24, Score Voting, Vote 11, 12744
2021-01-25 14:54:32.872, 2021-01-25 14:54:54.114, 21, Modified Borda Count, Vote 12, 12744
2021-01-25 14:54:59.083, 2021-01-25 14:55:14.989, 15, Majority Voting, Vote 13, 12744
2021-01-25 14:55:19.858, 2021-01-25 14:55:48.490, 28, Combined Approval, Vote 14, 12744
2021-01-25 14:55:54.523, 2021-01-25 14:56:14.725, 20, Score Voting, Vote 15, 12744
2021-01-25 14:56:19.719, 2021-01-25 14:56:56.677, 36, Modified Borda Count, Vote 16, 12744
2021-01-19 21:28:51.953, 2021-01-19 21:29:03.157, 11, Majority Voting, Vote 01, 14467
2021-01-19 21:29:10.182, 2021-01-19 21:29:34.464, 24, Combined Approval, Vote 02, 14467
2021-01-19 21:29:39.289, 2021-01-19 21:29:55.634, 16, Score Voting, Vote 03, 14467
2021-01-19 21:30:00.435, 2021-01-19 21:30:21.558, 21, Modified Borda Count, Vote 04, 14467
2021-01-19 21:30:26.318, 2021-01-19 21:30:45.148, 18, Majority Voting, Vote 05, 14467
2021-01-19 21:30:49.929, 2021-01-19 21:31:02.717, 12, Combined Approval, Vote 06, 14467
2021-01-19 21:31:07.402, 2021-01-19 21:31:12.838, 5, Score Voting, Vote 07, 14467
2021-01-19 21:31:17.534, 2021-01-19 21:31:25.009, 7, Modified Borda Count, Vote 08, 14467
2021-01-19 21:31:29.562, 2021-01-19 21:31:37.663, 8, Majority Voting, Vote 09, 14467
2021-01-19 21:31:42.390, 2021-01-19 21:31:50.803, 8, Combined Approval, Vote 10, 14467
2021-01-19 21:31:55.512, 2021-01-19 21:32:15.541, 20, Score Voting, Vote 11, 14467
2021-01-19 21:32:20.362, 2021-01-19 21:32:32.947, 12, Modified Borda Count, Vote 12, 14467
2021-01-19 21:32:37.760, 2021-01-19 21:32:44.536, 6, Majority Voting, Vote 13, 14467
2021-01-19 21:32:49.337, 2021-01-19 21:32:52.341, 3, Combined Approval, Vote 14, 14467
2021-01-19 21:32:56.927, 2021-01-19 21:33:06.879, 9, Score Voting, Vote 15, 14467
2021-01-19 21:33:11.451, 2021-01-19 21:33:20.269, 8, Modified Borda Count, Vote 16, 14467
2021-07-23 17:12:19.815, 2021-07-23 17:15:37.286, 197, Majority Voting, Vote 01, 16944
2021-07-23 17:15:42.548, 2021-07-23 17:16:17.081, 34, Combined Approval, Vote 02, 16944
