"","short_id","which_method","rating_cvd","ordered"
"1","94513","mv",4,TRUE
"2","94513","cav",4,TRUE
"3","94513","sv",4,TRUE
"4","94513","mbc",2,TRUE
"5","11172","mv",4,TRUE
"6","11172","cav",4,TRUE
"7","11172","sv",4,TRUE
"8","11172","mbc",4,TRUE
"9","16944","mv",0,TRUE
"10","16944","cav",1,TRUE
"11","16944","sv",4,TRUE
"12","16944","mbc",3,TRUE
"13","23757","mv",0,TRUE
"14","23757","cav",2,TRUE
"15","23757","sv",4,TRUE
"16","23757","mbc",3,TRUE
"17","92296","mv",1,TRUE
"18","92296","cav",3,TRUE
"19","92296","sv",3,TRUE
"20","92296","mbc",3,TRUE
"21","36475","mv",1,TRUE
"22","36475","cav",3,TRUE
"23","36475","sv",2,TRUE
"24","36475","mbc",3,TRUE
"25","71632","mv",0,TRUE
"26","71632","cav",3,TRUE
"27","71632","sv",4,TRUE
"28","71632","mbc",3,TRUE
"29","laura","mv",2,TRUE
"30","laura","cav",3,TRUE
"31","laura","sv",3,TRUE
"32","laura","mbc",3,TRUE
"33","98245","mv",3,TRUE
"34","98245","cav",3,TRUE
"35","98245","sv",4,TRUE
"36","98245","mbc",3,TRUE
"37","83792","mv",1,TRUE
"38","83792","cav",1,TRUE
"39","83792","sv",3,TRUE
"40","83792","mbc",4,TRUE
"41","61731","mv",1,TRUE
"42","61731","cav",2,TRUE
"43","61731","sv",4,TRUE
"44","61731","mbc",3,TRUE
"45","58393","mv",3,TRUE
"46","58393","cav",1,TRUE
"47","58393","sv",3,TRUE
"48","58393","mbc",3,TRUE
"49","73863","mv",3,TRUE
"50","73863","cav",1,TRUE
"51","73863","sv",4,TRUE
"52","73863","mbc",1,TRUE
"53","53659","mv",3,TRUE
"54","53659","cav",3,TRUE
"55","53659","sv",3,TRUE
"56","53659","mbc",3,TRUE
"57","13886","mv",3,TRUE
"58","13886","cav",4,TRUE
"59","13886","sv",4,TRUE
"60","13886","mbc",3,TRUE
"61","35882","mv",0,TRUE
"62","35882","cav",3,TRUE
"63","35882","sv",4,TRUE
"64","35882","mbc",2,TRUE
"65","38577","mv",0,TRUE
"66","38577","cav",2,TRUE
"67","38577","sv",3,TRUE
"68","38577","mbc",3,TRUE
"69","71841","mv",1,TRUE
"70","71841","cav",3,TRUE
"71","71841","sv",4,TRUE
"72","71841","mbc",4,TRUE
"73","54392","mv",1,TRUE
"74","54392","cav",3,TRUE
"75","54392","sv",3,TRUE
"76","54392","mbc",4,TRUE
"77","95499","mv",2,TRUE
"78","95499","cav",2,TRUE
"79","95499","sv",4,TRUE
"80","95499","mbc",4,TRUE
"81","55617","mv",3,TRUE
"82","55617","cav",1,TRUE
"83","55617","sv",4,TRUE
"84","55617","mbc",3,TRUE
"85","92711","mv",1,TRUE
"86","92711","cav",3,TRUE
"87","92711","sv",3,TRUE
"88","92711","mbc",1,TRUE
"89","31326","mv",1,TRUE
"90","31326","cav",3,TRUE
"91","31326","sv",4,TRUE
"92","31326","mbc",4,TRUE
"93","97359","mv",1,TRUE
"94","97359","cav",3,TRUE
"95","97359","sv",4,TRUE
"96","97359","mbc",4,TRUE
"97","36553","mv",3,TRUE
"98","36553","cav",2,TRUE
"99","36553","sv",1,TRUE
"100","36553","mbc",3,TRUE
"101","75682","mv",0,TRUE
"102","75682","cav",2,TRUE
"103","75682","sv",3,TRUE
"104","75682","mbc",3,TRUE
"105","28655","mv",0,TRUE
